Alloy,Phase
CuHfNiTiZr,AM
CuFeHfTiZr,AM
Al0.3CoCrFeMnNi,FCC
Al0.4CoFeNiSi0.4,BCC+FCC
Al7.5Co25Cu17.5Fe25Ni25,FCC
AlCoCrCuFe,BCC
AlCoCrCuFeZn,FCC
AlCoCrCuNiFeZn,BCC
AlCoCrFeMnNi,FCC
AlCoCuZnNi,BCC+FCC
AlCoFeMoNiTi,BCC
AlCrCrFeMgNi4.75,BCC+FCC
AlCrCuFeMg1,BCC+IM
AlCrCuFeMnW,BCC+FCC+IM
AlCrCuFeNiZn,BCC+FCC
AlCrFeMnV,BCC
AlCrFeNiZn,BCC+FCC
AlCrFeTi,BCC
AlCrFeTiZn,BCC
AlCrFeTiZnCu,BCC
AlCrMoNbZr,BCC
AlFeTi,BCC
Al1CoCrCuFeNi,BCC+FCC
AlCoCrCuFeNi ,BCC+FCC
Al1CoCrFeNiMn,BCC+FCC+IM
Co0.5CrFeNiTi0.5,BCC+FCC
CoCrCuFeNiAlTiMnVMo,BCC+FCC
CoCrCuFeNiNb,FCC
CoCrFeMn0.5NiTi0.5,BCC
CoCrFeMnNiTi0.1,FCC
CoCuNi,BCC
CoCuNiZn,FCC
CoCuNiZnAl,FCC
CoCuNiZnAlTi,BCC+FCC
CrCoFeMnNi,FCC
CrCoFeNi,FCC
CrCuFeTiZn,BCC+FCC
CrNbTiVZn,FCC
AlTiVNb,BCC
NbMoTaW,BCC
NbMoTaWVTi,BCC+FCC
TiVZrNbHf,FCC
TiZrNbHfTa,BCC
AlCoCrCuFeMnNi,BCC+FCC
CuAgAuPtPd,FCC
CoCrCuFeNiAlTiZnVMo,BCC+FCC
Al0.5CoCrCuFeNi ,FCC
Al2CoCrCuFeNi ,BCC+FCC
AlCrCuFeMn,BCC+FCC
AlCrCuFeMnW0.05,BCC+FCC
AlCrCuFeMnW0.1,BCC+FCC
AlCrCuFeMnW0.5,BCC+FCC
CsOsReRu,HCP
CoFeNiMn,BCC+FCC
CoFeNiCu,BCC+FCC
CoFeNiCr,BCC+FCC
Ag0.05Zr0.95,BCC
Al0.15Cr0.85,BCC
Al0.1Fe0.9,BCC
Al0.1Hf0.9,BCC
Al0.1Ti0.9,BCC
Al0.1W0.9,BCC
Al0.2Fe0.8,BCC
Al0.2Ti0.8,BCC
Al0.2V0.8,BCC
Al0.3Cr0.7,BCC
Al0.3Nb1Ta0.8Ti1.4V0.2Zr1.3,BCC
Al0.4Hf0.6Nb1Ta1Ti1Zr1,BCC
